imputation_id;vaccine;sex;age_group;cov;var;imputation_method
6;Spikevax;F;60-69;3400380;2185344.146;multiple imputation
6;Spikevax;F;70-79;3074493;1970648.144;multiple imputation
6;Spikevax;F;80+;2356018;1389665.316;multiple imputation
6;Spikevax;M;12-17;970261;479440.6085;multiple imputation
6;Spikevax;M;18-24;3010056;2016208.358;multiple imputation
6;Spikevax;M;25-29;2357837;2203116.634;multiple imputation
6;Spikevax;M;30-39;5213774;4392213.423;multiple imputation
6;Spikevax;M;40-49;5025318;4278374.977;multiple imputation
6;Spikevax;M;5-11;11427;11650.70008;multiple imputation
6;Spikevax;M;50-59;5578160;3646110.447;multiple imputation
6;Spikevax;M;60-69;3170302;2149248.596;multiple imputation
6;Spikevax;M;70-79;2681716;1883437.091;multiple imputation
6;Spikevax;M;80+;1496338;1107614.704;multiple imputation
6;Vaxzevria;F;10-19;298617;267731.0475;multiple imputation
6;Vaxzevria;F;20-29;1617586;1363466.688;multiple imputation
6;Vaxzevria;F;30-39;2599347;2200421.795;multiple imputation
6;Vaxzevria;F;40-49;4043044;3116614.926;multiple imputation
6;Vaxzevria;F;50-59;4760262;3082508.503;multiple imputation
6;Vaxzevria;F;60-69;13193667;8045427.359;multiple imputation
6;Vaxzevria;F;70-79;5355265;3377482.903;multiple imputation
6;Vaxzevria;F;80+;1222878;862819.7566;multiple imputation
6;Vaxzevria;M;10-19;175540;163906.142;multiple imputation
6;Vaxzevria;M;20-29;1032579;928097.0276;multiple imputation
6;Vaxzevria;M;30-39;2134981;1863494.02;multiple imputation
6;Vaxzevria;M;40-49;2969264;2433869.785;multiple imputation
6;Vaxzevria;M;50-59;4314753;2913786.524;multiple imputation
6;Vaxzevria;M;60-69;13077789;7946358.128;multiple imputation
6;Vaxzevria;M;70-79;5031320;3231318.838;multiple imputation
6;Vaxzevria;M;80+;771906;583281.5292;multiple imputation
7;Comirnaty;F;12-17;13825806;7069438.394;multiple imputation
7;Comirnaty;F;18-24;16507473;11231735.44;multiple imputation
7;Comirnaty;F;25-29;13733440;12824969.28;multiple imputation
7;Comirnaty;F;30-39;29456262;25161702.59;multiple imputation
7;Comirnaty;F;40-49;36492756;29981107.87;multiple imputation
7;Comirnaty;F;5-11;154008;152912.9023;multiple imputation
7;Comirnaty;F;50-59;36915521;24194217.4;multiple imputation
7;Comirnaty;F;60-69;27183637;17920453.57;multiple imputation
7;Comirnaty;F;70-79;28182451;18479834.67;multiple imputation
7;Comirnaty;F;80+;23434367;14004926.21;multiple imputation
7;Comirnaty;M;12-17;14243307;7069715.165;multiple imputation
7;Comirnaty;M;18-24;16369706;11538928.03;multiple imputation
7;Comirnaty;M;25-29;12656795;11855590.81;multiple imputation
7;Comirnaty;M;30-39;29534613;25294977.94;multiple imputation
7;Comirnaty;M;40-49;33755098;28042765.05;multiple imputation
7;Comirnaty;M;5-11;73815;73195.3986;multiple imputation
7;Comirnaty;M;50-59;35722589;23807200.39;multiple imputation
7;Comirnaty;M;60-69;23591966;16236171.67;multiple imputation
7;Comirnaty;M;70-79;23952442;16895574.91;multiple imputation
7;Comirnaty;M;80+;15277930;11537055;multiple imputation
7;Spikevax;F;12-17;932962;479067.1808;multiple imputation
7;Spikevax;F;18-24;3127156;2068417.864;multiple imputation
7;Spikevax;F;25-29;2411945;2225619.944;multiple imputation
7;Spikevax;F;30-39;5277689;4376241.138;multiple imputation
7;Spikevax;F;40-49;5415921;4497652.495;multiple imputation
7;Spikevax;F;5-11;8467;8092.857436;multiple imputation
7;Spikevax;F;50-59;5527852;3655911.77;multiple imputation
7;Spikevax;F;60-69;3436256;2214890.653;multiple imputation
7;Spikevax;F;70-79;3068876;1960496.319;multiple imputation
7;Spikevax;F;80+;2235931;1272969.711;multiple imputation
7;Spikevax;M;12-17;972634;477926.9361;multiple imputation
7;Spikevax;M;18-24;2998738;1999150.982;multiple imputation
7;Spikevax;M;25-29;2433310;2242940.373;multiple imputation
7;Spikevax;M;30-39;5098532;4285731.6;multiple imputation
7;Spikevax;M;40-49;5201800;4355878.765;multiple imputation
7;Spikevax;M;5-11;8596;8245.22541;multiple imputation
7;Spikevax;M;50-59;5808633;3822155.189;multiple imputation
7;Spikevax;M;60-69;3213080;2181907.491;multiple imputation
